start_node,greedy,regret
0,12238,14860
1,12727,14860
2,12046,14860
3,12181,16688
4,10650,15449
5,12181,16149
6,10367,15890
7,12007,16276
8,10346,14645
9,11252,15480
10,12046,15600
11,12007,15109
12,12727,15490
13,13366,17171
14,12181,16401
15,12727,16306
16,13926,16047
17,12727,16258
18,13105,15109
19,10937,15732
20,12238,14511
21,13091,16615
22,13091,16688
23,12727,16401
24,10346,14673
25,11600,15794
26,10346,15318
27,12183,15359
28,12007,15536
29,10937,14577
30,12391,16677
31,12007,15743
32,12181,15109
33,10346,15658
34,10346,15542
35,13926,16113
36,11191,15305
37,10937,16197
38,10704,14974
39,10704,15724
40,13926,16047
41,12391,15294
42,10777,16019
43,13396,15490
44,13926,16401
45,10346,14904
46,11316,15694
47,12391,16654
48,10937,16081
49,13091,16533
50,12914,16401
51,10367,15530
52,10704,15542
53,10367,14940
54,13091,16149
55,11600,15542
56,10346,15530
57,10367,16146
58,12007,15378
59,10777,15178
60,10346,15480
61,11600,15494
62,12391,16677
63,13366,17132
64,11316,15650
65,10777,15694
66,10650,15724
67,11252,16010
68,11600,16176
69,10704,15767
70,12007,15599
71,11191,15775
72,12046,15494
73,10777,15809
74,10937,15279
75,12007,15736
76,12727,16677
77,12727,15451
78,11316,15254
79,10937,15703
80,11316,15724
81,13366,16326
82,12181,16390
83,10367,15886
84,12046,15389
85,10937,16105
86,10777,15986
87,13091,15986
88,10777,14856
89,12238,15176
90,12183,15660
91,13105,15084
92,12046,15449
93,10346,15402
94,12238,15736
95,13105,15109
96,12007,15677
97,12007,14922
98,12007,15621
99,11600,16050
MIN,10346,14511
MAX,13926,17171
AVG,11784.94,15714.62
