,steepest_local_search_vertices,steepest_local_search_edges,greedy_local_search_vertices,greedy_local_search_edges,
AVG,17751.3,12466.62,16180.13,12120.65,
MIN,13509,11045,12728,10788,
MAX,21811,14958,22223,13745,
AVG TIME,0.979149954,0.609419835,1.028139107,0.709843113,
,,,,,
i,,,,,start_dist
0,18033,12774,15978,12392,85634
1,15395,12812,17238,11263,88438
2,13509,11487,18243,11851,89296
3,21124,12337,17599,11371,93590
4,16974,12614,15508,13336,83353
5,19048,12430,15290,11337,94145
6,18099,14005,14860,12262,87558
7,18326,12225,13353,12784,90666
8,15138,12923,15612,11605,79878
9,15867,12287,14429,12960,88481
10,20190,13428,14221,12056,88194
11,20221,12464,15899,11553,88555
12,17808,12339,18190,12586,80794
13,18496,13245,15634,11139,89589
14,19057,11591,17334,12251,79063
15,15301,13047,15071,11601,73910
16,17143,12537,16182,12190,89300
17,21811,13676,14630,11551,83751
18,17004,12654,15612,12278,76223
19,20670,12283,19211,11493,90204
20,16722,13087,16882,12041,88669
21,19400,12240,17991,11258,90512
22,18661,11045,16781,10879,77419
23,19609,13128,18008,12650,90012
24,16431,12969,15379,12565,81651
25,17389,11415,15582,12281,88125
26,17757,12297,15207,12509,84543
27,19486,11995,17041,11609,93182
28,17710,11894,17628,12140,96316
29,20417,12212,14076,12293,92929
30,16114,12650,16770,11807,92045
31,16507,12708,16520,11589,79096
32,16713,13095,16560,12619,86517
33,20539,12860,16294,11052,76050
34,14374,11713,16148,10788,83117
35,17160,12678,16148,11295,92564
36,20994,11739,14388,12039,94555
37,19839,12382,17765,13312,84738
38,16787,11900,17067,13734,82030
39,17330,12136,17430,11574,85669
40,16478,11664,16509,12305,77635
41,20906,11445,16388,11791,91548
42,17144,12280,15900,12310,89222
43,20785,11540,14990,11338,82567
44,16338,11731,17860,11758,87478
45,18860,12425,14808,12353,85178
46,18783,11834,17078,12547,75095
47,19388,12904,17561,11552,89349
48,16944,12134,15931,12027,78964
49,16031,12835,15123,13474,94152
50,14734,12535,15741,12697,67381
51,17787,13092,15895,11980,90509
52,19781,13785,14858,12500,80631
53,19767,12751,17370,12462,99602
54,17177,13745,17378,11458,96305
55,15765,12952,16851,12291,76510
56,17945,12654,14103,11774,91372
57,16789,12606,16887,11605,86252
58,19586,11640,16611,11864,90842
59,16643,12789,14629,13549,79125
60,16122,12252,16579,12336,89177
61,16626,12823,14973,12493,81852
62,17016,12409,17471,12615,81866
63,17195,12998,14768,11300,93617
64,17572,11251,14610,13249,72983
65,17575,12281,18902,12203,83138
66,19003,12846,12728,12530,87323
67,18287,11931,16741,12431,78843
68,21418,12597,15818,11957,80604
69,16981,13813,17007,12416,97382
70,16985,12668,15175,12211,95114
71,16843,12817,16333,11663,87381
72,18347,13560,17247,12263,86714
73,17104,12187,17379,13189,80787
74,19487,12196,15635,11397,79990
75,14719,11666,16915,11771,90540
76,18043,12503,14272,12901,89424
77,15440,12453,15694,11903,90856
78,16085,12583,16639,12586,76734
79,16367,12267,18491,11766,74262
80,15929,11423,15392,12481,83230
81,17537,11963,17354,11979,90008
82,14478,13122,15360,13447,96272
83,19149,14958,18971,12939,87577
84,20647,12305,15618,13745,80370
85,16583,12061,15499,11192,76110
86,15786,11466,15669,11497,90371
87,15384,11983,14412,12229,89596
88,18652,12889,16643,11038,86336
89,18266,12945,13176,11442,78291
90,17849,12239,16138,11683,85926
91,17928,12655,15949,11628,81829
92,19922,12724,16294,11690,88882
93,18072,12467,16019,12513,86508
94,16965,11454,14279,13112,77595
95,17754,12127,17669,11845,82787
96,15721,12855,15307,11626,80349
97,19319,11567,16148,11651,90535
98,17520,12452,22223,11907,88978
99,17670,12264,14286,13713,93662
